,code,description,icd10cm_code
2881,D05.12,Intraductal carcinoma in situ of left breast,D0512
2882,D05.8,Other specified type of carcinoma in situ of breast,D058
2883,D05.80,Other specified type of carcinoma in situ of unspecified breast,D0580
2884,D05.81,Other specified type of carcinoma in situ of right breast,D0581
2885,D05.82,Other specified type of carcinoma in situ of left breast,D0582
2886,D05.9,Unspecified type of carcinoma in situ of breast,D059
2887,D05.90,Unspecified type of carcinoma in situ of unspecified breast,D0590
2888,D05.91,Unspecified type of carcinoma in situ of right breast,D0591
2889,D05.92,Unspecified type of carcinoma in situ of left breast,D0592
2890,D06,Carcinoma in situ of cervix uteri,D06
2891,D06.0,Carcinoma in situ of endocervix,D060
2892,D06.1,Carcinoma in situ of exocervix,D061
2893,D06.7,Carcinoma in situ of other parts of cervix,D067
2894,D06.9,"Carcinoma in situ of cervix, unspecified",D069
2895,D07,Carcinoma in situ of other and unspecified genital organs,D07
2896,D07.0,Carcinoma in situ of endometrium,D070
2897,D07.1,Carcinoma in situ of vulva,D071
2898,D07.2,Carcinoma in situ of vagina,D072
2899,D07.3,Carcinoma in situ of other and unspecified female genital organs,D073
2900,D07.30,Carcinoma in situ of unspecified female genital organs,D0730
2901,D07.39,Carcinoma in situ of other female genital organs,D0739
2902,D07.4,Carcinoma in situ of penis,D074
2903,D07.5,Carcinoma in situ of prostate,D075
2904,D07.6,Carcinoma in situ of other and unspecified male genital organs,D076
2905,D07.60,Carcinoma in situ of unspecified male genital organs,D0760
2906,D07.61,Carcinoma in situ of scrotum,D0761
2907,D07.69,Carcinoma in situ of other male genital organs,D0769
2908,D09,Carcinoma in situ of other and unspecified sites,D09
2909,D09.0,Carcinoma in situ of bladder,D090
2910,D09.1,Carcinoma in situ of other and unspecified urinary organs,D091
2911,D09.10,Carcinoma in situ of unspecified urinary organ,D0910
2912,D09.19,Carcinoma in situ of other urinary organs,D0919
2913,D09.2,Carcinoma in situ of eye,D092
2914,D09.20,Carcinoma in situ of unspecified eye,D0920
2915,D09.21,Carcinoma in situ of right eye,D0921
2916,D09.22,Carcinoma in situ of left eye,D0922
2917,D09.3,Carcinoma in situ of thyroid and other endocrine glands,D093
2918,D09.8,Carcinoma in situ of other specified sites,D098
2919,D09.9,"Carcinoma in situ, unspecified",D099
2920,D10,Benign neoplasm of mouth and pharynx,D10
2921,D10.0,Benign neoplasm of lip,D100
2922,D10.1,Benign neoplasm of tongue,D101
2923,D10.2,Benign neoplasm of floor of mouth,D102
2924,D10.3,Benign neoplasm of other and unspecified parts of mouth,D103
2925,D10.30,Benign neoplasm of unspecified part of mouth,D1030
2926,D10.39,Benign neoplasm of other parts of mouth,D1039
2927,D10.4,Benign neoplasm of tonsil,D104
2928,D10.5,Benign neoplasm of other parts of oropharynx,D105
2929,D10.6,Benign neoplasm of nasopharynx,D106
2930,D10.7,Benign neoplasm of hypopharynx,D107
2931,D10.9,"Benign neoplasm of pharynx, unspecified",D109
2932,D11,Benign neoplasm of major salivary glands,D11
2933,D11.0,Benign neoplasm of parotid gland,D110
2934,D11.7,Benign neoplasm of other major salivary glands,D117
2935,D11.9,"Benign neoplasm of major salivary gland, unspecified",D119
2936,D12,"Benign neoplasm of colon, rectum, anus and anal canal",D12
2937,D12.0,Benign neoplasm of cecum,D120
2938,D12.1,Benign neoplasm of appendix,D121
2939,D12.2,Benign neoplasm of ascending colon,D122
2940,D12.3,Benign neoplasm of transverse colon,D123
2941,D12.4,Benign neoplasm of descending colon,D124
2942,D12.5,Benign neoplasm of sigmoid colon,D125
2943,D12.6,"Benign neoplasm of colon, unspecified",D126
2944,D12.7,Benign neoplasm of rectosigmoid junction,D127
2945,D12.8,Benign neoplasm of rectum,D128
2946,D12.9,Benign neoplasm of anus and anal canal,D129
2947,D13,Benign neoplasm of other and ill-defined parts of digestive system,D13
2948,D13.0,Benign neoplasm of esophagus,D130
2949,D13.1,Benign neoplasm of stomach,D131
2950,D13.2,Benign neoplasm of duodenum,D132
2951,D13.3,Benign neoplasm of other and unspecified parts of small intestine,D133
2952,D13.30,Benign neoplasm of unspecified part of small intestine,D1330
2953,D13.39,Benign neoplasm of other parts of small intestine,D1339
2954,D13.4,Benign neoplasm of liver,D134
2955,D13.5,Benign neoplasm of extrahepatic bile ducts,D135
2956,D13.6,Benign neoplasm of pancreas,D136
2957,D13.7,Benign neoplasm of endocrine pancreas,D137
2958,D13.9,Benign neoplasm of ill-defined sites within the digestive system,D139
2959,D13.91,Familial adenomatous polyposis,D1391
2960,D13.99,Benign neoplasm of ill-defined sites within the digestive system,D1399
2961,D14,Benign neoplasm of middle ear and respiratory system,D14
2962,D14.0,"Benign neoplasm of middle ear, nasal cavity and accessory sinuses",D140
2963,D14.1,Benign neoplasm of larynx,D141
2964,D14.2,Benign neoplasm of trachea,D142
2965,D14.3,Benign neoplasm of bronchus and lung,D143
2966,D14.30,Benign neoplasm of unspecified bronchus and lung,D1430
2967,D14.31,Benign neoplasm of right bronchus and lung,D1431
2968,D14.32,Benign neoplasm of left bronchus and lung,D1432
2969,D14.4,"Benign neoplasm of respiratory system, unspecified",D144
2970,D15,Benign neoplasm of other and unspecified intrathoracic organs,D15
2971,D15.0,Benign neoplasm of thymus,D150
2972,D15.1,Benign neoplasm of heart,D151
2973,D15.2,Benign neoplasm of mediastinum,D152
2974,D15.7,Benign neoplasm of other specified intrathoracic organs,D157
2975,D15.9,"Benign neoplasm of intrathoracic organ, unspecified",D159
2976,D16,Benign neoplasm of bone and articular cartilage,D16
2977,D16.0,Benign neoplasm of scapula and long bones of upper limb,D160
2978,D16.00,Benign neoplasm of scapula and long bones of unspecified upper limb,D1600
2979,D16.01,Benign neoplasm of scapula and long bones of right upper limb,D1601
2980,D16.02,Benign neoplasm of scapula and long bones of left upper limb,D1602
2981,D16.1,Benign neoplasm of short bones of upper limb,D161
2982,D16.10,Benign neoplasm of short bones of unspecified upper limb,D1610
2983,D16.11,Benign neoplasm of short bones of right upper limb,D1611
2984,D16.12,Benign neoplasm of short bones of left upper limb,D1612
2985,D16.2,Benign neoplasm of long bones of lower limb,D162
2986,D16.20,Benign neoplasm of long bones of unspecified lower limb,D1620
2987,D16.21,Benign neoplasm of long bones of right lower limb,D1621
2988,D16.22,Benign neoplasm of long bones of left lower limb,D1622
2989,D16.3,Benign neoplasm of short bones of lower limb,D163
2990,D16.30,Benign neoplasm of short bones of unspecified lower limb,D1630
2991,D16.31,Benign neoplasm of short bones of right lower limb,D1631
2992,D16.32,Benign neoplasm of short bones of left lower limb,D1632
2993,D16.4,Benign neoplasm of bones of skull and face,D164
2994,D16.5,Benign neoplasm of lower jaw bone,D165
2995,D16.6,Benign neoplasm of vertebral column,D166
2996,D16.7,"Benign neoplasm of ribs, sternum and clavicle",D167
2997,D16.8,"Benign neoplasm of pelvic bones, sacrum and coccyx",D168
2998,D16.9,"Benign neoplasm of bone and articular cartilage, unspecified",D169
2999,D17,Benign lipomatous neoplasm,D17
3000,D17.0,"Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck",D170
3001,D17.1,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,D171
3002,D17.2,Benign lipomatous neoplasm of skin and subcutaneous tissue of limb,D172
3003,D17.20,Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified limb,D1720
3004,D17.21,Benign lipomatous neoplasm of skin and subcutaneous tissue of right arm,D1721
3005,D17.22,Benign lipomatous neoplasm of skin and subcutaneous tissue of left arm,D1722
3006,D17.23,Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg,D1723
3007,D17.24,Benign lipomatous neoplasm of skin and subcutaneous tissue of left leg,D1724
3008,D17.3,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites,D173
3009,D17.30,Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified sites,D1730
3010,D17.39,Benign lipomatous neoplasm of skin and subcutaneous tissue of other sites,D1739
3011,D17.4,Benign lipomatous neoplasm of intrathoracic organs,D174
3012,D17.5,Benign lipomatous neoplasm of intra-abdominal organs,D175
3013,D17.6,Benign lipomatous neoplasm of spermatic cord,D176
3014,D17.7,Benign lipomatous neoplasm of other sites,D177
3015,D17.71,Benign lipomatous neoplasm of kidney,D1771
3016,D17.72,Benign lipomatous neoplasm of other genitourinary organ,D1772
3017,D17.79,Benign lipomatous neoplasm of other sites,D1779
3018,D17.9,"Benign lipomatous neoplasm, unspecified",D179
3019,D18,"Hemangioma and lymphangioma, any site",D18
3020,D18.0,Hemangioma,D180
3021,D18.00,Hemangioma unspecified site,D1800
3022,D18.01,Hemangioma of skin and subcutaneous tissue,D1801
3023,D18.02,Hemangioma of intracranial structures,D1802
3024,D18.03,Hemangioma of intra-abdominal structures,D1803
3025,D18.09,Hemangioma of other sites,D1809
3026,D18.1,"Lymphangioma, any site",D181
3027,D19,Benign neoplasm of mesothelial tissue,D19
3028,D19.0,Benign neoplasm of mesothelial tissue of pleura,D190
3029,D19.1,Benign neoplasm of mesothelial tissue of peritoneum,D191
3030,D19.7,Benign neoplasm of mesothelial tissue of other sites,D197
3031,D19.9,"Benign neoplasm of mesothelial tissue, unspecified",D199
3032,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,D20
3033,D20.0,Benign neoplasm of soft tissue of retroperitoneum,D200
3034,D20.1,Benign neoplasm of soft tissue of peritoneum,D201
3035,D21,Other benign neoplasms of connective and other soft tissue,D21
3036,D21.0,"Benign neoplasm of connective and other soft tissue of head, face and neck",D210
3037,D21.1,"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder",D211
3038,D21.10,"Benign neoplasm of connective and other soft tissue of unspecified upper limb, including shoulder",D2110
3039,D21.11,"Benign neoplasm of connective and other soft tissue of right upper limb, including shoulder",D2111
3040,D21.12,"Benign neoplasm of connective and other soft tissue of left upper limb, including shoulder",D2112
3041,D21.2,"Benign neoplasm of connective and other soft tissue of lower limb, including hip",D212
3042,D21.20,"Benign neoplasm of connective and other soft tissue of unspecified lower limb, including hip",D2120
3043,D21.21,"Benign neoplasm of connective and other soft tissue of right lower limb, including hip",D2121
3044,D21.22,"Benign neoplasm of connective and other soft tissue of left lower limb, including hip",D2122
3045,D21.3,Benign neoplasm of connective and other soft tissue of thorax,D213
3046,D21.4,Benign neoplasm of connective and other soft tissue of abdomen,D214
3047,D21.5,Benign neoplasm of connective and other soft tissue of pelvis,D215
3048,D21.6,"Benign neoplasm of connective and other soft tissue of trunk, unspecified",D216
3049,D21.9,"Benign neoplasm of connective and other soft tissue, unspecified",D219
3050,D22,Melanocytic nevi,D22
3051,D22.0,Melanocytic nevi of lip,D220
3052,D22.1,"Melanocytic nevi of eyelid, including canthus",D221
3053,D22.10,"Melanocytic nevi of unspecified eyelid, including canthus",D2210
3054,D22.11,"Melanocytic nevi of right eyelid, including canthus",D2211
3055,D22.111,"Melanocytic nevi of right upper eyelid, including canthus",D22111
3056,D22.112,"Melanocytic nevi of right lower eyelid, including canthus",D22112
3057,D22.12,"Melanocytic nevi of left eyelid, including canthus",D2212
3058,D22.121,"Melanocytic nevi of left upper eyelid, including canthus",D22121
3059,D22.122,"Melanocytic nevi of left lower eyelid, including canthus",D22122
3060,D22.2,Melanocytic nevi of ear and external auricular canal,D222
3061,D22.20,Melanocytic nevi of unspecified ear and external auricular canal,D2220
3062,D22.21,Melanocytic nevi of right ear and external auricular canal,D2221
3063,D22.22,Melanocytic nevi of left ear and external auricular canal,D2222
3064,D22.3,Melanocytic nevi of other and unspecified parts of face,D223
3065,D22.30,Melanocytic nevi of unspecified part of face,D2230
3066,D22.39,Melanocytic nevi of other parts of face,D2239
3067,D22.4,Melanocytic nevi of scalp and neck,D224
3068,D22.5,Melanocytic nevi of trunk,D225
3069,D22.6,"Melanocytic nevi of upper limb, including shoulder",D226
3070,D22.60,"Melanocytic nevi of unspecified upper limb, including shoulder",D2260
3071,D22.61,"Melanocytic nevi of right upper limb, including shoulder",D2261
3072,D22.62,"Melanocytic nevi of left upper limb, including shoulder",D2262
3073,D22.7,"Melanocytic nevi of lower limb, including hip",D227
3074,D22.70,"Melanocytic nevi of unspecified lower limb, including hip",D2270
3075,D22.71,"Melanocytic nevi of right lower limb, including hip",D2271
3076,D22.72,"Melanocytic nevi of left lower limb, including hip",D2272
3077,D22.9,"Melanocytic nevi, unspecified",D229
3078,D23,Other benign neoplasms of skin,D23
3079,D23.0,Other benign neoplasm of skin of lip,D230
3080,D23.1,"Other benign neoplasm of skin of eyelid, including canthus",D231
3081,D23.10,"Other benign neoplasm of skin of unspecified eyelid, including canthus",D2310
3082,D23.11,"Other benign neoplasm of skin of right eyelid, including canthus",D2311
3083,D23.111,"Other benign neoplasm of skin of right upper eyelid, including canthus",D23111
3084,D23.112,"Other benign neoplasm of skin of right lower eyelid, including canthus",D23112
3085,D23.12,"Other benign neoplasm of skin of left eyelid, including canthus",D2312
3086,D23.121,"Other benign neoplasm of skin of left upper eyelid, including canthus",D23121
3087,D23.122,"Other benign neoplasm of skin of left lower eyelid, including canthus",D23122
3088,D23.2,Other benign neoplasm of skin of ear and external auricular canal,D232
3089,D23.20,Other benign neoplasm of skin of unspecified ear and external auricular canal,D2320
3090,D23.21,Other benign neoplasm of skin of right ear and external auricular canal,D2321
3091,D23.22,Other benign neoplasm of skin of left ear and external auricular canal,D2322
3092,D23.3,Other benign neoplasm of skin of other and unspecified parts of face,D233
3093,D23.30,Other benign neoplasm of skin of unspecified part of face,D2330
3094,D23.39,Other benign neoplasm of skin of other parts of face,D2339
3095,D23.4,Other benign neoplasm of skin of scalp and neck,D234
3096,D23.5,Other benign neoplasm of skin of trunk,D235
3097,D23.6,"Other benign neoplasm of skin of upper limb, including shoulder",D236
3098,D23.60,"Other benign neoplasm of skin of unspecified upper limb, including shoulder",D2360
3099,D23.61,"Other benign neoplasm of skin of right upper limb, including shoulder",D2361
3100,D23.62,"Other benign neoplasm of skin of left upper limb, including shoulder",D2362
3101,D23.7,"Other benign neoplasm of skin of lower limb, including hip",D237
3102,D23.70,"Other benign neoplasm of skin of unspecified lower limb, including hip",D2370
3103,D23.71,"Other benign neoplasm of skin of right lower limb, including hip",D2371
3104,D23.72,"Other benign neoplasm of skin of left lower limb, including hip",D2372
3105,D23.9,"Other benign neoplasm of skin, unspecified",D239
3106,D24,Benign neoplasm of breast,D24
3107,D24.1,Benign neoplasm of right breast,D241
3108,D24.2,Benign neoplasm of left breast,D242
3109,D24.9,Benign neoplasm of unspecified breast,D249
3110,D25,Leiomyoma of uterus,D25
3111,D25.0,Submucous leiomyoma of uterus,D250
3112,D25.1,Intramural leiomyoma of uterus,D251
3113,D25.2,Subserosal leiomyoma of uterus,D252
3114,D25.9,"Leiomyoma of uterus, unspecified",D259
3115,D26,Other benign neoplasms of uterus,D26
3116,D26.0,Other benign neoplasm of cervix uteri,D260
3117,D26.1,Other benign neoplasm of corpus uteri,D261
3118,D26.7,Other benign neoplasm of other parts of uterus,D267
3119,D26.9,"Other benign neoplasm of uterus, unspecified",D269
3120,D27,Benign neoplasm of ovary,D27
3121,D27.0,Benign neoplasm of right ovary,D270
3122,D27.1,Benign neoplasm of left ovary,D271
3123,D27.9,Benign neoplasm of unspecified ovary,D279
3124,D28,Benign neoplasm of other and unspecified female genital organs,D28
3125,D28.0,Benign neoplasm of vulva,D280
3126,D28.1,Benign neoplasm of vagina,D281
3127,D28.2,Benign neoplasm of uterine tubes and ligaments,D282
3128,D28.7,Benign neoplasm of other specified female genital organs,D287
3129,D28.9,"Benign neoplasm of female genital organ, unspecified",D289
3130,D29,Benign neoplasm of male genital organs,D29
3131,D29.0,Benign neoplasm of penis,D290
3132,D29.1,Benign neoplasm of prostate,D291
3133,D29.2,Benign neoplasm of testis,D292
3134,D29.20,Benign neoplasm of unspecified testis,D2920
3135,D29.21,Benign neoplasm of right testis,D2921
3136,D29.22,Benign neoplasm of left testis,D2922
3137,D29.3,Benign neoplasm of epididymis,D293
3138,D29.30,Benign neoplasm of unspecified epididymis,D2930
3139,D29.31,Benign neoplasm of right epididymis,D2931
3140,D29.32,Benign neoplasm of left epididymis,D2932
3141,D29.4,Benign neoplasm of scrotum,D294
3142,D29.8,Benign neoplasm of other specified male genital organs,D298
3143,D29.9,"Benign neoplasm of male genital organ, unspecified",D299
3144,D30,Benign neoplasm of urinary organs,D30
3145,D30.0,Benign neoplasm of kidney,D300
3146,D30.00,Benign neoplasm of unspecified kidney,D3000
3147,D30.01,Benign neoplasm of right kidney,D3001
3148,D30.02,Benign neoplasm of left kidney,D3002
3149,D30.1,Benign neoplasm of renal pelvis,D301
3150,D30.10,Benign neoplasm of unspecified renal pelvis,D3010
3151,D30.11,Benign neoplasm of right renal pelvis,D3011
3152,D30.12,Benign neoplasm of left renal pelvis,D3012
3153,D30.2,Benign neoplasm of ureter,D302
3154,D30.20,Benign neoplasm of unspecified ureter,D3020
3155,D30.21,Benign neoplasm of right ureter,D3021
3156,D30.22,Benign neoplasm of left ureter,D3022
3157,D30.3,Benign neoplasm of bladder,D303
3158,D30.4,Benign neoplasm of urethra,D304
3159,D30.8,Benign neoplasm of other specified urinary organs,D308
3160,D30.9,"Benign neoplasm of urinary organ, unspecified",D309
3161,D31,Benign neoplasm of eye and adnexa,D31
3162,D31.0,Benign neoplasm of conjunctiva,D310
3163,D31.00,Benign neoplasm of unspecified conjunctiva,D3100
3164,D31.01,Benign neoplasm of right conjunctiva,D3101
3165,D31.02,Benign neoplasm of left conjunctiva,D3102
3166,D31.1,Benign neoplasm of cornea,D311
3167,D31.10,Benign neoplasm of unspecified cornea,D3110
3168,D31.11,Benign neoplasm of right cornea,D3111
3169,D31.12,Benign neoplasm of left cornea,D3112
3170,D31.2,Benign neoplasm of retina,D312
3171,D31.20,Benign neoplasm of unspecified retina,D3120
3172,D31.21,Benign neoplasm of right retina,D3121
3173,D31.22,Benign neoplasm of left retina,D3122
3174,D31.3,Benign neoplasm of choroid,D313
3175,D31.30,Benign neoplasm of unspecified choroid,D3130
3176,D31.31,Benign neoplasm of right choroid,D3131
3177,D31.32,Benign neoplasm of left choroid,D3132
3178,D31.4,Benign neoplasm of ciliary body,D314
3179,D31.40,Benign neoplasm of unspecified ciliary body,D3140
3180,D31.41,Benign neoplasm of right ciliary body,D3141
3181,D31.42,Benign neoplasm of left ciliary body,D3142
3182,D31.5,Benign neoplasm of lacrimal gland and duct,D315
3183,D31.50,Benign neoplasm of unspecified lacrimal gland and duct,D3150
3184,D31.51,Benign neoplasm of right lacrimal gland and duct,D3151
3185,D31.52,Benign neoplasm of left lacrimal gland and duct,D3152
3186,D31.6,Benign neoplasm of unspecified site of orbit,D316
3187,D31.60,Benign neoplasm of unspecified site of unspecified orbit,D3160
3188,D31.61,Benign neoplasm of unspecified site of right orbit,D3161
3189,D31.62,Benign neoplasm of unspecified site of left orbit,D3162
3190,D31.9,Benign neoplasm of unspecified part of eye,D319
3191,D31.90,Benign neoplasm of unspecified part of unspecified eye,D3190
3192,D31.91,Benign neoplasm of unspecified part of right eye,D3191
3193,D31.92,Benign neoplasm of unspecified part of left eye,D3192
3194,D32,Benign neoplasm of meninges,D32
3195,D32.0,Benign neoplasm of cerebral meninges,D320
3196,D32.1,Benign neoplasm of spinal meninges,D321
3197,D32.9,"Benign neoplasm of meninges, unspecified",D329
3198,D33,Benign neoplasm of brain and other parts of central nervous system,D33
3199,D33.0,"Benign neoplasm of brain, supratentorial",D330
3200,D33.1,"Benign neoplasm of brain, infratentorial",D331
3201,D33.2,"Benign neoplasm of brain, unspecified",D332
3202,D33.3,Benign neoplasm of cranial nerves,D333
3203,D33.4,Benign neoplasm of spinal cord,D334
3204,D33.7,Benign neoplasm of other specified parts of central nervous system,D337
3205,D33.9,"Benign neoplasm of central nervous system, unspecified",D339
3206,D34,Benign neoplasm of thyroid gland,D34
3207,D35,Benign neoplasm of other and unspecified endocrine glands,D35
3208,D35.0,Benign neoplasm of adrenal gland,D350
3209,D35.00,Benign neoplasm of unspecified adrenal gland,D3500
3210,D35.01,Benign neoplasm of right adrenal gland,D3501
3211,D35.02,Benign neoplasm of left adrenal gland,D3502
3212,D35.1,Benign neoplasm of parathyroid gland,D351
3213,D35.2,Benign neoplasm of pituitary gland,D352
3214,D35.3,Benign neoplasm of craniopharyngeal duct,D353
3215,D35.4,Benign neoplasm of pineal gland,D354
3216,D35.5,Benign neoplasm of carotid body,D355
3217,D35.6,Benign neoplasm of aortic body and other paraganglia,D356
3218,D35.7,Benign neoplasm of other specified endocrine glands,D357
3219,D35.9,"Benign neoplasm of endocrine gland, unspecified",D359
3220,D36,Benign neoplasm of other and unspecified sites,D36
3221,D36.0,Benign neoplasm of lymph nodes,D360
3222,D36.1,Benign neoplasm of peripheral nerves and autonomic nervous system,D361
3223,D36.10,"Benign neoplasm of peripheral nerves and autonomic nervous system, unspecified",D3610
3224,D36.11,"Benign neoplasm of peripheral nerves and autonomic nervous system of face, head, and neck",D3611
3225,D36.12,"Benign neoplasm of peripheral nerves and autonomic nervous system, upper limb, including shoulder",D3612
3226,D36.13,"Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip",D3613
3227,D36.14,Benign neoplasm of peripheral nerves and autonomic nervous system of thorax,D3614
3228,D36.15,Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen,D3615
3229,D36.16,Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis,D3616
3230,D36.17,"Benign neoplasm of peripheral nerves and autonomic nervous system of trunk, unspecified",D3617
3231,D36.7,Benign neoplasm of other specified sites,D367
3232,D36.9,"Benign neoplasm, unspecified site",D369
3233,D3A,Benign neuroendocrine tumors,D3A
3234,D3A.0,Benign carcinoid tumors,D3A0
3235,D3A.00,Benign carcinoid tumor of unspecified site,D3A00
3236,D3A.01,Benign carcinoid tumors of the small intestine,D3A01
3237,D3A.010,Benign carcinoid tumor of the duodenum,D3A010
3238,D3A.011,Benign carcinoid tumor of the jejunum,D3A011
3239,D3A.012,Benign carcinoid tumor of the ileum,D3A012
3240,D3A.019,"Benign carcinoid tumor of the small intestine, unspecified portion",D3A019
3241,D3A.02,"Benign carcinoid tumors of the appendix, large intestine, and rectum",D3A02
3242,D3A.020,Benign carcinoid tumor of the appendix,D3A020
3243,D3A.021,Benign carcinoid tumor of the cecum,D3A021
3244,D3A.022,Benign carcinoid tumor of the ascending colon,D3A022
3245,D3A.023,Benign carcinoid tumor of the transverse colon,D3A023
3246,D3A.024,Benign carcinoid tumor of the descending colon,D3A024
3247,D3A.025,Benign carcinoid tumor of the sigmoid colon,D3A025
3248,D3A.026,Benign carcinoid tumor of the rectum,D3A026
3249,D3A.029,"Benign carcinoid tumor of the large intestine, unspecified portion",D3A029
3250,D3A.09,Benign carcinoid tumors of other sites,D3A09
3251,D3A.090,Benign carcinoid tumor of the bronchus and lung,D3A090
3252,D3A.091,Benign carcinoid tumor of the thymus,D3A091
3253,D3A.092,Benign carcinoid tumor of the stomach,D3A092
3254,D3A.093,Benign carcinoid tumor of the kidney,D3A093
3255,D3A.094,"Benign carcinoid tumor of the foregut, unspecified",D3A094
3256,D3A.095,"Benign carcinoid tumor of the midgut, unspecified",D3A095
3257,D3A.096,"Benign carcinoid tumor of the hindgut, unspecified",D3A096
3258,D3A.098,Benign carcinoid tumors of other sites,D3A098
3259,D3A.8,Other benign neuroendocrine tumors,D3A8
3260,D37,Neoplasm of uncertain behavior of oral cavity and digestive organs,D37
3261,D37.0,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx",D370
3262,D37.01,Neoplasm of uncertain behavior of lip,D3701
3263,D37.02,Neoplasm of uncertain behavior of tongue,D3702
3264,D37.03,Neoplasm of uncertain behavior of the major salivary glands,D3703
3265,D37.030,Neoplasm of uncertain behavior of the parotid salivary glands,D37030
3266,D37.031,Neoplasm of uncertain behavior of the sublingual salivary glands,D37031
3267,D37.032,Neoplasm of uncertain behavior of the submandibular salivary glands,D37032
3268,D37.039,"Neoplasm of uncertain behavior of the major salivary glands, unspecified",D37039
3269,D37.04,Neoplasm of uncertain behavior of the minor salivary glands,D3704
3270,D37.05,Neoplasm of uncertain behavior of pharynx,D3705
3271,D37.09,Neoplasm of uncertain behavior of other specified sites of the oral cavity,D3709
3272,D37.1,Neoplasm of uncertain behavior of stomach,D371
3273,D37.2,Neoplasm of uncertain behavior of small intestine,D372
3274,D37.3,Neoplasm of uncertain behavior of appendix,D373
3275,D37.4,Neoplasm of uncertain behavior of colon,D374
3276,D37.5,Neoplasm of uncertain behavior of rectum,D375
3277,D37.6,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts",D376
3278,D37.8,Neoplasm of uncertain behavior of other specified digestive organs,D378
3279,D37.9,"Neoplasm of uncertain behavior of digestive organ, unspecified",D379
3280,D38,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs,D38
3281,D38.0,Neoplasm of uncertain behavior of larynx,D380
3282,D38.1,"Neoplasm of uncertain behavior of trachea, bronchus and lung",D381
3283,D38.2,Neoplasm of uncertain behavior of pleura,D382
3284,D38.3,Neoplasm of uncertain behavior of mediastinum,D383
3285,D38.4,Neoplasm of uncertain behavior of thymus,D384
3286,D38.5,Neoplasm of uncertain behavior of other respiratory organs,D385
3287,D38.6,"Neoplasm of uncertain behavior of respiratory organ, unspecified",D386
3288,D39,Neoplasm of uncertain behavior of female genital organs,D39
3289,D39.0,Neoplasm of uncertain behavior of uterus,D390
3290,D39.1,Neoplasm of uncertain behavior of ovary,D391
3291,D39.10,Neoplasm of uncertain behavior of unspecified ovary,D3910
3292,D39.11,Neoplasm of uncertain behavior of right ovary,D3911
3293,D39.12,Neoplasm of uncertain behavior of left ovary,D3912
3294,D39.2,Neoplasm of uncertain behavior of placenta,D392
3295,D39.8,Neoplasm of uncertain behavior of other specified female genital organs,D398
3296,D39.9,"Neoplasm of uncertain behavior of female genital organ, unspecified",D399
3297,D40,Neoplasm of uncertain behavior of male genital organs,D40
3298,D40.0,Neoplasm of uncertain behavior of prostate,D400
3299,D40.1,Neoplasm of uncertain behavior of testis,D401
3300,D40.10,Neoplasm of uncertain behavior of unspecified testis,D4010
3301,D40.11,Neoplasm of uncertain behavior of right testis,D4011
3302,D40.12,Neoplasm of uncertain behavior of left testis,D4012
3303,D40.8,Neoplasm of uncertain behavior of other specified male genital organs,D408
3304,D40.9,"Neoplasm of uncertain behavior of male genital organ, unspecified",D409
3305,D41,Neoplasm of uncertain behavior of urinary organs,D41
3306,D41.0,Neoplasm of uncertain behavior of kidney,D410
3307,D41.00,Neoplasm of uncertain behavior of unspecified kidney,D4100
3308,D41.01,Neoplasm of uncertain behavior of right kidney,D4101
3309,D41.02,Neoplasm of uncertain behavior of left kidney,D4102
3310,D41.1,Neoplasm of uncertain behavior of renal pelvis,D411
3311,D41.10,Neoplasm of uncertain behavior of unspecified renal pelvis,D4110
3312,D41.11,Neoplasm of uncertain behavior of right renal pelvis,D4111
3313,D41.12,Neoplasm of uncertain behavior of left renal pelvis,D4112
3314,D41.2,Neoplasm of uncertain behavior of ureter,D412
3315,D41.20,Neoplasm of uncertain behavior of unspecified ureter,D4120
3316,D41.21,Neoplasm of uncertain behavior of right ureter,D4121
3317,D41.22,Neoplasm of uncertain behavior of left ureter,D4122
3318,D41.3,Neoplasm of uncertain behavior of urethra,D413
3319,D41.4,Neoplasm of uncertain behavior of bladder,D414
3320,D41.8,Neoplasm of uncertain behavior of other specified urinary organs,D418
3321,D41.9,Neoplasm of uncertain behavior of unspecified urinary organ,D419
3322,D42,Neoplasm of uncertain behavior of meninges,D42
3323,D42.0,Neoplasm of uncertain behavior of cerebral meninges,D420
3324,D42.1,Neoplasm of uncertain behavior of spinal meninges,D421
3325,D42.9,"Neoplasm of uncertain behavior of meninges, unspecified",D429
3326,D43,Neoplasm of uncertain behavior of brain and central nervous system,D43
